company,country_group,service_focus,delivery_model,industry_focus,scale_bucket
Siili Solutions,Target,"Digital transformation, AI & data, cloud, public sector, automotive",Onshore-heavy,Multi-industry,Mid-cap
Gofore,Finland,"Digital transformation, public sector, design",Onshore-heavy,Public sector,Mid-cap
Vincit,Finland,"Digital services, software, nearshore",Onshore-heavy,Multi-industry,Mid-cap
Digital Workforce Services,Finland,"Intelligent automation, RPA",Onshore-heavy,Multi-industry,Mid-cap
Witted Megacorp,Finland,"Software development, cloud",Onshore-heavy,Multi-industry,Mid-cap
Tietoevry,Finland,"IT services, platforms, outsourcing",Onshore-heavy,Financial services,Mid-cap
Solteq,Finland,"Commerce, ERP, analytics",Onshore-heavy,Multi-industry,Mid-cap
Sopra Steria,International,"IT consulting, public sector, managed services",Mixed/nearshore,Public sector,Large-cap
Reply,International,"Consulting, systems integration, digital",Mixed/nearshore,Financial services,Large-cap
Endava,International,"Nearshore delivery, digital engineering",Mixed/nearshore,Multi-industry,Large-cap
Alten,International,Engineering & R&D services,Mixed/nearshore,Multi-industry,Large-cap
Cegeka,International,"IT services, cloud, managed services",Mixed/nearshore,Multi-industry,Large-cap
